transition_date,transition_hour,transport_type_id,road_type,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name,station_poi_desc_cd
2024-10-01,00,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,1,1,TAM,Tam Abonman,KADIKOY,34A,SOGUTLUCESME 1
2024-10-01,00,1,OTOYOL,GURPINAR– AVCILAR METROBUS,Normal,2,2,TAM,Tam Kontur,BAKIRKOY,458,
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Kontur,AVCILAR,34,SUKRUBEY
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Kontur,ZEYTINBURNU,34,CEVIZLIBAG
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BEYLIKDUZU,34,GUZELYURT
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Kontur,BEYOGLU,34,HALICIOGLU
2024-10-01,00,1,OTOYOL,KIRAC-AVCILAR METROBUS,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,429A,
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Tam Kontur,BESIKTAS,34,ZINCIRLIKUYU 2
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Kontur,AVCILAR,34,IBB SOSYAL TESISLER
2024-10-01,00,1,OTOYOL,ALIBEYKOY METRO - ZINCIRLIKUYU METROBUS,Normal,2,2,TAM,Tam Kontur,BAKIRKOY,50Z,
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Kontur,SISLI,34,MECIDIYEKOY
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Kontur,ESENYURT,34,BEYLIKDUZU BELEDIYESI
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAHCELIEVLER,34,YENIBOSNA
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Kontur,ZEYTINBURNU,34,CEVIZLIBAG
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Abonman,AVCILAR,34,AVCILAR MRK.UNV.KAMP.
2024-10-01,00,1,OTOYOL,BOGAZKOY MAH.- AVCILAR METROBUS,Normal,2,2,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,142,
2024-10-01,00,1,OTOYOL,KIRAC-AVCILAR METROBUS,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,429A,
2024-10-01,00,1,OTOYOL,GURPINAR– AVCILAR METROBUS,Normal,5,5,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,458,
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,34,ZEYTINBURNU
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Abonman,ESENYURT,34,BEYLIKDUZU
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Kontur,ESENYURT,34,SAADETDERE MAHALLESI
2024-10-01,00,1,OTOYOL,BOGAZKOY MAH.- AVCILAR METROBUS,Normal,1,1,INDIRIMLI2,Indirimli Tip 2 Kontur,BAKIRKOY,142,
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,34,ZEYTINBURNU
2024-10-01,00,1,OTOYOL,GURPINAR– AVCILAR METROBUS,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,458,
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,34,FLORYA
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Abonman,SISLI,34,MECIDIYEKOY
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Kontur,EYUPSULTAN,34,AYVANSARAY EYUP SULTAN
2024-10-01,00,1,OTOYOL,BOGAZKOY MAH.- AVCILAR METROBUS,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,142,
2024-10-01,00,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,1,1,INDIRIMLI1,Tam Kontur,KADIKOY,34A,SOGUTLUCESME 1
2024-10-01,00,1,OTOYOL,ALIBEYKOY METRO - ZINCIRLIKUYU METROBUS,Aktarma,1,1,INDIRIMLI1,Indirimli Aktarma,BAKIRKOY,50Z,
2024-10-01,00,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,1,1,INDIRIMLI1,Indirimli Kontur,USKUDAR,34A,UZUNCAYIR 2
2024-10-01,00,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,2,2,INDIRIMLI1,Indirimli Kontur,KADIKOY,34A,SOGUTLUCESME 1
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI2,Tam Kontur,BESIKTAS,34,ZINCIRLIKUYU 2
2024-10-01,00,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Abonman,KUCUKCEKMECE,34,CENNET MAHALLESI
