sim_time_s,mean_gap_m_on_minus_off,p10_m,p90_m
0,-0.0,0.0,0.0
60,27.4,-50.7,147.3
120,30.7,-71.0,172.4
180,62.0,-125.9,275.0
240,99.9,-127.9,406.3
300,135.4,-125.7,497.7
360,161.7,-44.7,503.3
420,185.7,-20.0,618.4
480,237.0,-44.0,614.2
540,261.5,-42.5,676.4
600,310.1,0.3,763.3
660,358.1,9.5,885.4
720,392.1,4.6,954.9
780,414.9,-16.1,1075.9
840,450.9,14.5,1139.9
900,492.5,27.9,1236.1
960,527.6,53.0,1294.8
1020,575.6,49.1,1313.1
1080,612.2,56.8,1389.7
1140,636.9,62.5,1449.2
1200,669.9,75.2,1468.9
1260,730.2,122.4,1600.9
1320,748.9,102.3,1602.1
1380,764.1,96.3,1746.3
1440,782.7,61.5,1718.9
1500,813.7,163.4,1664.0
1560,858.4,152.6,1789.8
1620,905.9,125.8,1719.5
1680,933.8,146.8,1872.0
1740,979.2,157.6,1933.8
1800,1025.8,165.6,1959.8
1860,1041.9,174.0,2024.5
1920,1063.2,167.0,2141.6
1980,1078.9,176.3,2155.5
2040,1068.3,156.5,2119.8
2100,1100.4,178.0,2056.4
2160,1144.4,110.0,2189.4
2220,1167.0,110.0,2163.8
2280,1180.4,220.7,2195.9
2340,1179.1,110.0,2229.3
2400,1181.3,106.6,2250.9
2460,1173.0,185.2,2210.2
2520,1180.1,243.1,2135.8
2580,1210.1,272.2,2254.9
2640,1244.7,259.5,2208.2
2700,1260.6,239.8,2288.3
2760,1290.5,108.7,2305.6
2820,1299.1,119.1,2504.0
2880,1336.3,142.7,2780.5
2940,1371.3,153.9,2817.9
3000,1417.3,186.3,2995.4
3060,1435.0,271.0,3018.6
3120,1450.3,258.0,3011.7
3180,1504.9,262.6,3097.6
3240,1528.7,289.3,2933.4
3300,1549.5,277.6,2998.4
3360,1540.4,213.3,3034.0
3420,1585.8,186.2,3175.6
3480,1625.5,293.9,3173.7
3540,1677.2,196.4,3359.8
3600,1703.9,310.9,3412.9
3660,1759.2,301.4,3556.5
3720,1769.3,284.3,3658.3
3780,1792.8,245.1,3684.0
3840,1808.8,354.0,3649.4
3900,1840.2,363.4,3644.8
3960,1899.2,367.7,3628.6
4020,1958.5,241.3,3733.2
4080,2006.3,396.0,3859.9
4140,2044.5,411.5,3779.2
4200,2068.1,438.0,3826.2
4260,2108.3,454.9,3542.6
4320,2129.3,450.8,3516.1
4380,2128.4,449.0,3538.9
4440,2149.4,439.0,3599.1
4500,2150.4,469.6,3863.7
4560,2195.9,471.5,4151.6
4620,2213.7,448.2,4305.5
4680,2251.8,464.8,4376.0
4740,2279.5,513.1,4489.7
4800,2307.5,495.6,4559.2
4860,2327.5,478.0,4688.9
4920,2347.1,474.2,4771.2
4980,2346.5,472.0,4719.3
5040,2374.6,477.1,4730.0
5100,2417.1,446.3,4897.3
5160,2450.2,444.3,4901.5
5220,2453.2,439.6,4868.4
5280,2473.4,439.7,4881.0
5340,2480.8,469.4,4808.6
5400,2482.0,497.0,4981.6
5460,2496.0,487.2,5009.9
5520,2542.4,497.0,4899.8
5580,2569.3,521.2,4944.4
5640,2596.1,482.7,4994.3
5700,2616.7,522.4,5073.1
5760,2640.6,503.4,5134.1
5820,2663.7,527.2,5423.9
5880,2679.7,521.8,5411.2
5940,2712.9,552.0,5408.8
6000,2744.8,569.2,5417.0
6060,2759.9,568.8,5417.0
6120,2767.5,558.3,5378.2
6180,2764.0,560.1,5333.1
6240,2773.7,541.9,5311.3
6300,2770.5,561.0,5206.3
6360,2772.6,554.5,5201.0
6420,2776.9,565.3,5044.6
6480,2772.0,556.4,5086.8
6540,2760.8,590.5,5086.3
6600,2753.9,578.3,5039.9
6660,2743.7,598.7,5042.4
6720,2732.5,588.3,5064.0
6780,2742.4,599.2,4997.7
6840,2747.7,657.2,4945.2
6900,2760.6,623.1,5229.8
6960,2758.5,668.6,5394.8
7020,2763.6,667.5,5447.5
7080,2778.7,638.7,5493.4
7140,2783.8,694.2,5485.0
