stop_index,stop_name,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,Beylikdüzü Sondurak,22.0,12.0,10.0,9.0,13.0,142.0,813.0,1110.0,890.0,718.0,519.0,572.0,749.0,624.0,581.0,629.0,824.0,887.0,830.0,474.0,236.0,150.0,107.0,56.0
1,Beykent,28.0,11.0,6.0,5.0,11.0,100.0,356.0,754.0,675.0,483.0,372.0,362.0,381.0,381.0,349.0,348.0,463.0,521.0,557.0,367.0,207.0,138.0,105.0,50.0
2,Cumhuriyet Mahallesi,31.0,16.0,8.0,4.0,8.0,42.0,262.0,541.0,492.0,351.0,240.0,242.0,243.0,232.0,210.0,203.0,244.0,325.0,364.0,260.0,151.0,105.0,87.0,53.0
3,Beylikdüzü Belediye,21.0,9.0,6.0,5.0,7.0,40.0,214.0,468.0,435.0,251.0,179.0,175.0,226.0,183.0,143.0,173.0,214.0,262.0,196.0,149.0,92.0,70.0,56.0,33.0
4,Beylikdüzü,35.0,14.0,9.0,5.0,11.0,59.0,329.0,715.0,650.0,438.0,342.0,341.0,379.0,366.0,349.0,377.0,431.0,530.0,646.0,481.0,313.0,290.0,257.0,91.0
5,Güzelyurt,17.0,8.0,4.0,3.0,7.0,76.0,236.0,477.0,353.0,203.0,155.0,150.0,135.0,138.0,128.0,135.0,127.0,170.0,200.0,100.0,80.0,58.0,48.0,29.0
6,Haramidere,22.0,12.0,6.0,6.0,11.0,76.0,496.0,967.0,823.0,447.0,318.0,291.0,305.0,296.0,264.0,224.0,250.0,326.0,391.0,249.0,158.0,117.0,85.0,40.0
7,Haramidere Sanayi,20.0,9.0,5.0,4.0,6.0,27.0,198.0,522.0,476.0,277.0,192.0,209.0,225.0,249.0,228.0,259.0,317.0,454.0,657.0,349.0,202.0,147.0,159.0,48.0
8,Saadetdere Mahallesi,14.0,5.0,2.0,3.0,7.0,49.0,267.0,580.0,460.0,233.0,166.0,187.0,196.0,183.0,158.0,160.0,168.0,203.0,215.0,126.0,75.0,61.0,40.0,25.0
9,Mustafa Kemalpaşa,20.0,10.0,5.0,3.0,9.0,66.0,295.0,758.0,678.0,354.0,310.0,486.0,600.0,489.0,472.0,500.0,700.0,712.0,516.0,305.0,175.0,141.0,89.0,50.0
10,Cihangir - Üniv.mah.,21.0,8.0,4.0,3.0,8.0,48.0,241.0,654.0,629.0,351.0,269.0,331.0,392.0,368.0,330.0,318.0,360.0,391.0,418.0,282.0,187.0,148.0,135.0,58.0
11,Avcılar Merkez-Üniversite Kampüsü,37.0,18.0,9.0,8.0,8.0,79.0,725.0,1807.0,1384.0,927.0,620.0,577.0,647.0,610.0,590.0,662.0,796.0,710.0,626.0,468.0,297.0,250.0,183.0,83.0
